experiment,model,trial_number,mae,mape,training_time,prediction_time,evaluation_time,n_estimators,max_depth,learning_rate,subsample,colsample_bylevel,l2_leaf_reg,random_strength,bagging_temperature,border_count,min_data_in_leaf,num_leaves,colsample_bytree,min_child_samples,min_split_gain,reg_alpha,reg_lambda,colsample_bynode,min_child_weight,gamma
catboost_tuning,CatBoostRegressor,0,27.561920129610222,0.13310191733769272,32.52600897999946,0.01077390000136802,0.0006823000003350899,400,12,0.1205712628744377,0.8394633936788146,0.6624074561769746,0.004207053950287938,0.5808361216819946,8.661761457749352,255.0,42.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,1,30.099225857068433,0.14703163414074488,1.1531877399989754,0.006025539999973262,0.0006727199994202238,300,4,0.018659959624904916,0.7216968971838151,0.8099025726528951,0.05342937261279776,2.9122914019804194,6.118528947223795,255.0,40.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,2,27.478499002445425,0.1313522752433054,1.2379527999990387,0.005522539999947185,0.0006615999991481658,200,8,0.07500118950416987,0.6185801650879991,0.8430179407605753,0.004809461967501573,0.6505159298527952,9.488855372533333,32.0,35.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,3,27.96338329423049,0.13373796336860116,1.7137302800001635,0.006980159998784074,0.0007278400000359398,500,4,0.05388108577817234,0.6137554084460873,0.9637281608315128,0.010842262717330166,6.62522284353982,3.1171107608941098,255.0,39.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,4,27.08947432896892,0.13043748550485593,25.939313160000165,0.014714319999620784,0.0007975399996212218,1000,11,0.0764136186923332,0.9687496940092467,0.6353970008207678,0.006080390190296602,0.45227288910538066,3.2533033076326436,128.0,15.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,5,27.319091469065864,0.13063465667065044,1.7902775200003815,0.006086140000115847,0.0006789800005208235,600,4,0.1530883741573138,0.6298202574719083,0.9947547746402069,1.2273800987852967,1.987156815341724,0.05522117123602399,32.0,4.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,6,27.292476390333547,0.13016273051356414,1.4803207199991448,0.00628670000078273,0.0006863000002340413,400,4,0.18832519048593593,0.8493192507310232,0.7323592099410596,0.0017956984225677636,3.109823217156622,3.2518332202674705,128.0,6.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,7,27.007326090587906,0.1293193328481355,15.932148940000479,0.012103039999783505,0.0010450800000398885,800,10,0.06746437142284309,0.9083868719818244,0.7975182385457563,0.12329098365270515,4.275410183585496,0.2541912674409519,128.0,26.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,8,27.275342077565206,0.13026036385377446,4.245912179999868,0.006961120000778464,0.0007184199996117969,1000,5,0.040381768820718394,0.9022204554172195,0.6915192661966489,0.0020319809838424984,2.8975145291376805,1.6122128725400442,32.0,41.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,9,27.22941306623327,0.12993371499402984,7.323218920000363,0.007912060000671772,0.000653759999840986,200,11,0.06261435181296006,0.922976062065625,0.9584365199693973,0.018707420137660268,1.1005192452767676,2.279351625419417,128.0,26.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,10,28.7079041318343,0.13846881549885132,5.584041059999436,0.007185300000128336,0.0006826400007412303,800,8,0.010260022325256595,0.746697621215042,0.886067844878718,0.5767509177705765,9.597707459454202,5.99945070550957,64.0,25.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,11,26.883157567402172,0.12822239059601612,17.43639325999975,0.013493819999712286,0.0007707400007348042,1000,10,0.030996003951218695,0.9977977909214745,0.6271281071050484,0.2339569776493165,5.421005384063923,0.05263984964719512,128.0,15.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,12,26.96182734307684,0.12827779135144618,10.24850779999979,0.010925439999846276,0.000762360000226181,800,9,0.02903677374376258,0.9830229713128368,0.7454663614570831,7.437031163695102,5.553557160065972,0.097656133421515,128.0,17.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,13,27.088275288633646,0.1290067776118228,9.654860120000375,0.010706740000023274,0.0006935400007932913,800,9,0.026300838231072442,0.9992524969160435,0.6143691879047292,9.84907802295007,7.20249899583716,1.2623449918600675,128.0,15.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,14,27.296635727879938,0.13022064467851918,4.5456579200013945,0.00748061999984202,0.0008251399995060638,900,6,0.030131202693414832,0.960109309177847,0.7283400714479269,7.563946886203248,5.957440821150985,0.017542585225104393,64.0,15.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,15,28.55842831544941,0.13718729001619753,4.84306377999892,0.007272540000121808,0.000817780000215862,700,7,0.01559645715127775,0.9909065862380313,0.7374998858014523,1.9573357375422622,8.395392694827276,4.47704291130379,128.0,10.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,16,26.955633252561125,0.1283466595877569,11.744573460000538,0.01215310000043246,0.0007664200013095979,1000,9,0.02699445382161811,0.8679083694332411,0.6044903765579541,0.23743693139324723,5.030067096806224,1.3850153541361065,128.0,20.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,17,27.237168938287056,0.12963934223691673,17.36314335999996,0.013590379999368452,0.0008359200008271727,1000,10,0.015461219260523337,0.7746991448724811,0.616385914127519,0.19307397576298738,4.412914452378879,4.72122575176048,128.0,31.0,,,,,,,,,
catboost_tuning,CatBoostRegressor,18,27.139022165938286,0.12989327258937539,18.868311260001065,0.011533100000815467,0.0006649200011452194,600,12,0.040538132913712784,0.8530064244856169,0.677675451827061,0.3142254800815907,7.460506202634639,1.873645048936374,64.0,21.0,,,,,,,,,
