experiment,model,training_time,prediction_time,evaluation_time,mae,mape
add_all_features,CatBoostRegressor,0.9954138600005535,0.006103120002080686,0.0012623999995412306,28.05560750227458,0.13444148074584175
add_all_features,LGBMRegressor,0.3226576399974874,0.00879741999815451,0.001797419997456018,27.50005924734675,0.1317055284456302
add_all_features,XGBRegressor,0.8899497799982783,0.0102621400001226,0.0008233799992012792,27.328128814697266,0.1317479521036148
add_cell_features,CatBoostRegressor,0.544773939998413,0.003241059997526463,0.0009620399971026928,28.170941433660325,0.13534624289144198
add_cell_features,LGBMRegressor,0.43154018000204813,0.006891060000634752,0.00136116000066977,27.714651229294674,0.1334541178499406
add_cell_features,XGBRegressor,0.5961058799977763,0.027329599999939093,0.0012587999997776933,27.38641242980957,0.13277701139450074
add_cluster_features,CatBoostRegressor,0.5644840999986627,0.003585780001594685,0.0008971999995992519,28.194615915992916,0.1355549021971492
add_cluster_features,LGBMRegressor,0.1461946400013403,0.007137920000241138,0.0014003799995407462,27.91669178633443,0.1346978448192403
add_cluster_features,XGBRegressor,0.5572746999998344,0.005498159999842755,0.0008557400011341088,27.511964797973633,0.13342958092689514
add_fourier_features,CatBoostRegressor,0.7084483400001773,0.003535839999676682,0.0009676599991507828,27.922616888978517,0.13402531019145036
add_fourier_features,LGBMRegressor,0.4857378200016683,0.007431519999227021,0.001072320000093896,27.664391977805433,0.1330504697996267
add_fourier_features,XGBRegressor,0.8008655800003908,0.009078080000472255,0.0012718199985101819,27.480627822875977,0.1333807736635208
add_pca_features,CatBoostRegressor,0.6101284000003944,0.004326639999635518,0.0010265600009006447,28.08767531762921,0.1350721632555552
add_pca_features,LGBMRegressor,0.44431187999871324,0.006981560001440812,0.0012435199998435565,27.730000959613175,0.13348316376335792
add_pca_features,XGBRegressor,0.682858300000953,0.006627160002244637,0.0013478399996529333,27.37522659301758,0.13247248530387878
add_spatial_features,CatBoostRegressor,0.6606126400016364,0.0033758200021111406,0.0008130800022627227,28.27600618919616,0.13552570937707104
add_spatial_features,LGBMRegressor,0.41618294000072636,0.0064236000020173375,0.0011180599991348571,27.61945583397006,0.13225803150317206
add_spatial_features,XGBRegressor,0.726677900001232,0.007265419999021106,0.0008810599989374168,27.416183853149413,0.13201821744441986
add_temporal_features,CatBoostRegressor,0.5501112599988118,0.0031180599995423107,0.0007160799999837763,28.229102604961916,0.1357873667729343
add_temporal_features,LGBMRegressor,0.39335425999888685,0.005947939999168738,0.001120980002451688,27.735761652434178,0.1335581903332011
add_temporal_features,XGBRegressor,0.5991121199986083,0.02649888000014471,0.0012564200020278803,27.56722640991211,0.13374902904033661
baseline_research,CatBoostRegressor,0.5772162399996887,0.003627579999738373,0.0007797399994160514,28.230189696574108,0.1357471575798822
baseline_research,LGBMRegressor,0.39859235999974774,0.005585099999734666,0.0011956599992117845,27.77856638290772,0.13386450834222216
baseline_research,XGBRegressor,0.573445139999967,0.004805799998575821,0.0008974399999715388,27.912746810913085,0.13593468070030212
transform_features_log,CatBoostRegressor,0.5881031199998688,0.0031227799998305274,0.0008356599995750002,28.230238614719536,0.13574746584633804
transform_features_log,LGBMRegressor,0.38619176000138394,0.005415920000814367,0.0012264600009075366,27.778369578516333,0.13386365816434667
transform_features_log,XGBRegressor,0.6225079800009553,0.006360739999945508,0.0013204400005633944,27.912746810913085,0.13593468070030212
transform_features_standard,CatBoostRegressor,0.6391056200001912,0.0040903600005549375,0.0012381199994706549,28.230205620145817,0.135747424031838
transform_features_standard,LGBMRegressor,0.4234678200002236,0.006523180001386209,0.0011293800002022182,27.804383054062974,0.13403129095076513
transform_features_standard,XGBRegressor,0.5805340200007777,0.005341960000077961,0.0008787800004938617,27.912746810913085,0.13593468070030212
transform_target_boxcox,CatBoostRegressor,0.7397043000004487,0.0035033400003158023,0.0006454200003645383,28.193711808810246,0.1355576146896058
transform_target_boxcox,LGBMRegressor,0.6306234199997561,0.007014399999752641,0.0011015799995220733,27.721584314262355,0.13361753259723536
transform_target_boxcox,XGBRegressor,0.7326981999991403,0.0058059399991179815,0.0007582399994134903,27.85970687866211,0.1349790424108505
transform_target_log,CatBoostRegressor,0.5966922400002659,0.0036759599985089152,0.0007805200002621859,28.125766974129313,0.13532245893998057
transform_target_log,LGBMRegressor,0.3974520399991889,0.006084980000014184,0.0011868800007505341,27.731033095110103,0.13378179758194925
transform_target_log,XGBRegressor,0.572058939999988,0.00481428000057349,0.0008321799999976065,27.912038803100586,0.13486234247684478
transform_target_quantile,CatBoostRegressor,0.6070608200003335,0.004648759998963215,0.0006296399995335377,28.141999029734677,0.1352309539492155
transform_target_quantile,LGBMRegressor,0.40732738000006063,0.007591139999567531,0.0010334200000215788,27.713646375300993,0.13347216020163388
transform_target_quantile,XGBRegressor,0.581707599999936,0.006379400001605973,0.0009292599999753293,27.83476676940918,0.1347131460905075
